80147,cs,Ibyitso,Ve rwandštině slovo "Icyitso" (množné číslo "Ibyitso") historicky odkazuje na špiona který byl poslán do oblasti do níž byla plánována invaze. Toto slovo je obvykle překládáno jako "spolupachatel" nebo dokonce "spolupracovník". V souvislosti s rwandskou genocidou Tutsiů v roce 1994 tento termín odkazuje na obvinění že Tutsiové byli ve spojení s invazními silami RPA (Rwanda Patriotic Army Rwandská vlastenecká armáda) v období po 1. říjnu 1990 až do genocidy. Tato obvinění byla použita jako záminka k zatýkání prohledávání domů útokům obtěžování či jiné diskriminaci Tutsiů bez ohledu na to zda byl či nebyl nějaký skutečný důkaz o takovém napojení na RPA.,
67504,cs,"La Violencia" (1948 - 1958),,
6819,cs,Mischlinge,Německý termín označující jedince smíšeného původu. Termín používaný Národně socialistickou stranou a vládou. "Mischling" ("míšenec") byl definován jako osoba židovského a německého původu. "Mischlinge" byli rozděleni do dvou kategorií: "Mischlinge" prvního stupně ("Mischlinge 1. Grades") a "Mischlinge" druhého stupně ("Mischlinge 2. Grades").,Užijte pokud kategorie "Mischlinge" není přesně definována."
16070,cs,"Mischlinge" druhého stupně,(Německy: smíšená rasa 2. stupně) Také nazýván jako "čtvrtinový Žid". Jedná se o německý termín jímž jsou označovány osoby které mají 1 židovského prarodiče.,Užijte hovoří-li se o "míšencích 2. stupně"."
16069,cs,"Mischlinge" prvního stupně,(Německy: smíšená rasa 1. stupně) Také nazýván jako "poloviční Žid". Jedná se o německý termín jímž jsou označovány osoby které mají 2 židovské prarodiče ale neidentifikují se jako Židé a nevstoupily do manželství s Židem ke dni 15. září 1935.,Užijte hovoří-li se o "míšencích 1. stupně"."
61373,cs,"Mnichovská krize" (duben - září 1938),,
59284,cs,"Noc dlouhých nožů" (29. - 30. června 1934),,
69378,cs,Parasol,,
71736,cs,Philipsova skupina,Holandský průmyslník Frits Philips majitel elektrické společnosti Philips se sídlem v nizozemském Eindhovenu se snažil od nacistické perzekuce během války ochránit skupinu svých židovských zaměstnanců. Když byla skupina v létě 1943 deportována do koncentračního tábora Vught (Herzogenbusch) její členové byli označeni jako Philips-Kommando a prováděli nucené práce související s montážemi rádií v Philips Speciale Werkplaats (Speciální dílna Philips). Philipsovi se podařilo chránit Židy v komandu před deportací do Osvětimi II-Birkenau až do června 1944. V Osvětimi měli nadále statut chráněnců a většina z nich byla převedena o několik týdnů později do německého pracovního tábora Reichenbach kde vykonávali práci pro firmu Telefunken. Asi padesát členů skupiny starší ženy a matky s dětmi zůstali v Osvětimi. Z původní skupiny čítající asi 500 lidí jich přežilo 160 většinou žen.,
55383,cs,"Pochod na Řím" (28. října 1922),,
48392,cs,Porýnští bastardi,"Porýnští bastardi" byl hanlivý termín používaný v německém tisku během Výmarské republiky a nacistické éry který označoval děti německých žen a černých vojáků z francouzských afrických kolonií kteří byli umístěni v demilitarizovaném území Porýní po I. světové válce. Lidé afrického původu čelí diskriminaci v důsledku Norimberských zákonů včetně ztráty zaměstnání a uvěznění v internačních a koncentračních táborech. Přibližně 385 až 500 těchto osob bylo nuceno nechat se sterilizovat nacisty.,
71001,cs,"Pro vlast" (Vilna Voivodship),,
71124,cs,Promień,,
66764,cs,"protisionistická" kampaň (Polsko 1968),,
6194,cs,řecký klam,,
60580,cs,Riegnerova skupina,Označení "Riegner Group" odkazuje na skupinu mladých německo-židovských uprchlíků pod vedením Dr. Kurta Julio Riegnera který v roce 1938 uprchl z Německa do Argentiny. Poté co se usadili v kolonii Avigdor v provincii Entre Rios založili členové oficiální organizaci Nueva Comunidad Israelita.,
33836,cs,"Rudý pátek" (27. června 1941),28. června 1941 německá armáda napadla a obsadila Bialystock v Polsku. Německé síly v tomto městě zmasakrovaly dva tisíce Židů. Tento den je označován jako "Rudý pátek".,
75651,cs,Rudý šíp,,
42531,cs,Schindlerovi Židé,Nuceně nasazení židovští pracovníci kteří pracovali pro Oskara Schindlera. Židé pracující pro Schindlera byli považováni za "nepostradatelné" a jako takoví měli výjimku z deportací.,Používá se jako statusový indexovaný termín pro narátory kteří pracovali jako nucení pracovníci pro Oskara Schindlera.
43747,cs,Spravedlivý mezi národy,,
49335,cs,Teheránské děti,Pojmem "teheránské děti" se označuje skupina asi 1000 židovských dětí které mohly v únoru 1943 uprchnout z nacisty okupované Evropy do Palestiny přes Írán. Po napadení Polska Němci v září 1939 uprchly tisíce židovských rodin do SSSR na Sibiř nebo do střední Asie což vedlo k osiření tisícovek dětí. Děti mohly opustit Evropu díky povolení polské exilové vlády v roce 1942 jež umožnilo emigraci dvaceti čtyř tisíc uprchlíků a polských vojáků z území Sovětského svazu do Teheránu. Zipporah Shertok a sionističtí pionýři řídili v Teheránu založený sirotčinec Beit ha-ha-Yeled Yehudi (Domov židovských dětí). Děti se plavily do Indie v lednu 1943 do Palestiny přijely 18. února 1943.,
35744,cs,Třináct,,
58352,cs,Verlorener Transport,,
70925,cs,Vladas Baronas,,
70870,cs,Yechiel,,
70869,cs,Za Pobedu,,
49106,cs,(PIQ) Adenská kolonie,,
53265,cs,(PIQ) Afghánistán,,
2673,cs,(PIQ) Albánie,,
22839,cs,(PIQ) Aleph Zadik Aleph,Aleph Zadik Aleph je organizace v B'nai B'rith pro dospívající židovské chlapce.,
7182,cs,(PIQ) Alžírsko,,
22848,cs,(PIQ) American Associates of Ben Gurion University of the Negev,Tato asociace byla založena v roce 1973. Je to univerzitní organizace zabývající se shromažďováním veřejných prostředků ve Spojených státech amerických.,
22419,cs,(PIQ) American Association of Retired Persons,Tato organizace (v překl. Americká asociace důchodců) byla založena v 50. letech 20. století a je hlavní politická lobbistická skupina amerických občanů ve věku nad 50 let.,
22856,cs,(PIQ) American Friends of Tel Aviv University,American Friends of Tel Aviv University (Američtí přátelé Telavivské university) podporuje vyšší vzdělávání na univerzitě v Tel Avivu izraelské největší instituce vyššího vzdělávání.,
22855,cs,(PIQ) American Friends of the Hebrew University,American Friends of the Hebrew University (Američtí přátelé Hebrejské univerzity) podporuje růst vývoj a podporu na Hebrejské univerzitě v Jeruzalémě. Shromažďuje finanční prostředky a vede informační programy v celých Spojených státech které zdůrazňují úspěchy univerzity a její význam.,
20877,cs,(PIQ) American Independent Party,Protiliberální státoprávní strana vytvořená na začátku 70. let 20. století byla do značné míry prostředek pro prezidentské kampaně guvernéra George C. Wallace Alabamy.,
6106,cs,(PIQ) American Zionist Council,Koordinační orgán amerických sionistických organizací. Předchůdcem American Zionist Concil (Amrické sionistické rady) která vznikla roku 1949 byla American Emergency Comittee for Zionist Affairs (Americký nouzový výbor pro sionistické záležitosti). Zastupuej Izrael v americkém veřejném mínění.,
22912,cs,(PIQ) Americans for Peace Now,Americans for Peace Now (Američané pro mír nyní) je americká organizace která pracuje v tandemu s hnutím Israel's Peace Now politickou skupinou podporující mír mezi Araby a Izraelci na základě myšlenky "území za mír". Organizace Peace Now byla založena v roce 1978 348 záložníky izraelské armády.,
37407,cs,(PIQ) Andorra,,
22914,cs,(PIQ) Anglo-American Committee of Enquiry Regarding the Problems of European Jewry,,
27160,cs,(PIQ) Angola,,
80934,cs,(PIQ) Arménie,,
31305,cs,(PIQ) asimilovaný,Asimilace je sociokulturní proces v němž se menšinová skupina postupně spojuje a přijímá zvyky a postoje převažující kultury.,
26009,cs,(PIQ) Association of Jewish Family and Children's Agencies,,
10211,cs,(PIQ) Austrálie,,
7169,cs,(PIQ) Ázerbajdžán,,
20451,cs,(PIQ) Baalei Keriah,(Hebrejsky: mistr recitace) Kvalifikovaný člen židovské komunity jehož odborné znalosti dovolí jemu nebo jí číst a zpívat ze svitku Tóry za užití předepsané řady not (aka tropů). Dovednost známá jako Kriath HaTorah je jedinečná protože psaný text na svitku Tóry neobsahuje žádnou interpunkci nebo notový záznam a tím i Baal Koreh se musí zavázat k poskytnutí nezbytného a specifického zápisu do paměti.,
20452,cs,(PIQ) Baalei Tefillah,(Hebrejsky: mistr modliteb) Toto je obvyklé pro židovská kongregace jež mají osobu s odpovědností vést společné modlitby. Baal Tefilla nebo Shaliach Tsibur (hlasatel komunity) působí jako rituální prostředník pro organizovaní denních Sabbath a svátečních modliteb. Požadavky na vedení modliteb jsou jednoduché: znalost pořadí modliteb (Siddur) a příjemný hlas.,
26487,cs,(PIQ) babičky ze strany matky,,Užijte pouze v případě že je znám přímý příbuzenský vztah tj. matka matky dotazovaného.
26488,cs,(PIQ) babičky ze strany otce,,Užijte pouze v případě že je znám přímý příbuzenský vztah tj. matka otce dotazovaného.
50752,cs,(PIQ) Bahamy,,
63409,cs,(PIQ) Bahrajn,,
31038,cs,(PIQ) Baltimore Jewish Council,Společnost byla založena v roce 1939 Židovská rada Baltimore pořádá vzpomínkové akce přednášky výstavy a workshopy pro učitele. BJC má také centrum zdrojů úřad mluvčích a skupinu druhé generace. BJC newsletter "Mandate: Remembrance" poskytuje komunitě informace o holocaustu a souvisejících tématech a událostech.,
29470,cs,(PIQ) Barma,,
22916,cs,(PIQ) Beit Halochem,Beit Halochem který se nachází v Torontu podporuje střediska v Izraeli která nabízejí rehabilitace pro zdravotně postižené izraelské válečné veterány.,
66282,cs,(PIQ) Belgické Kongo,,
2785,cs,(PIQ) Belgie,,
7170,cs,(PIQ) Bělorusko,,
17265,cs,(PIQ) bez příslušnosti,,Používá se pokud odpověď na náboženskou identitu v dotazníku vyplňovaném před rozhovorem je uvedeno "bez příslušnosti"."
17262,cs,(PIQ) bez vyznání,Stav žádné zvláštní náboženské identifikace. Osoba se může ztotožnit s konkrétní etnickou nebo kulturní skupinou při zachování neangažovaného postoje vůči náboženství této skupiny.,Používá se když označení "bez vyznání" nebo "nevěřící" byly zadány jako odpověď na dotaz ohledně náboženské identity v dotazníku vyplńovaném před rozhovorem."
39202,cs,(PIQ) Bnoth Zion Association,Bnoth Zion Association je ženská sionistická organizace v Kapském Městě v Jihoafrické republice. Bnoth Zion byla založena v Kapském Městě v roce 1900.,
7179,cs,(PIQ) Bolívie,,
2823,cs,(PIQ) Bosna and Hercegovina,,
51151,cs,(PIQ) Botswana,,
3031,cs,(PIQ) bratranci,,Užijte pokud přeživší nesdělí přesné jméno bratrance.
26484,cs,(PIQ) bratranci ze strany matky,,Užijte pouze v případě že je znám přímý příbuzenský vztah ze strany matky.
26483,cs,(PIQ) bratranci ze strany otce,,Užijte pouze v případě že je znám přímý příbuzenský vztah ze strany otce.
17176,cs,(PIQ) bratři adoptivní,,
17178,cs,(PIQ) bratři biologičtí,,
2835,cs,(PIQ) Brazílie,,
34804,cs,(PIQ) British Columbia Child Survivor Group / Vancouver Child Survivors,,
30519,cs,(PIQ) British Medical Association,,
65616,cs,(PIQ) Britská Indie,,
48120,cs,(PIQ) Britský protektorát Šalamounovy ostrovy,,
2871,cs,(PIQ) Bulharsko,,
76607,cs,(PIQ) Burundi,,
16965,cs,(PIQ) časová období,,
